Llave no. 0 (0,1) Inverso: 1 
Llave no. 5038 (69,93) Inverso: 47 
Llave no. 5039 (69,94) Inverso: 94 
Llave no. 5040 (70,1) Inverso: 1 
Llave no. 5041 (70,2) Inverso: 48 
Llave no. 5042 (70,3) Inverso: 32 
Llave no. 5043 (70,4) Inverso: 24 
Llave no. 5044 (70,6) Inverso: 16 
Llave no. 5045 (70,7) Inverso: 68 
Llave no. 5046 (70,8) Inverso: 12 
Llave no. 5047 (70,9) Inverso: 74 
Llave no. 5048 (70,11) Inverso: 26 
Llave no. 5049 (70,12) Inverso: 8 
Llave no. 5050 (70,13) Inverso: 22 
Llave no. 5051 (70,14) Inverso: 34 
Llave no. 5052 (70,16) Inverso: 6 
Llave no. 5053 (70,17) Inverso: 28 
Llave no. 5054 (70,18) Inverso: 37 
Llave no. 5055 (70,21) Inverso: 86 
Llave no. 5056 (70,22) Inverso: 13 
Llave no. 5057 (70,23) Inverso: 62 
Llave no. 5058 (70,24) Inverso: 4 
Llave no. 5059 (70,26) Inverso: 11 
Llave no. 5060 (70,27) Inverso: 88 
Llave no. 5061 (70,28) Inverso: 17 
Llave no. 5062 (70,29) Inverso: 59 
Llave no. 5063 (70,31) Inverso: 46 
Llave no. 5064 (70,32) Inverso: 3 
Llave no. 5065 (70,33) Inverso: 72 
Llave no. 5066 (70,34) Inverso: 14 
Llave no. 5067 (70,36) Inverso: 66 
Llave no. 5068 (70,37) Inverso: 18 
Llave no. 5069 (70,39) Inverso: 39 
Llave no. 5070 (70,41) Inverso: 51 
Llave no. 5071 (70,42) Inverso: 43 
Llave no. 5072 (70,43) Inverso: 42 
Llave no. 5073 (70,44) Inverso: 54 
Llave no. 5074 (70,46) Inverso: 31 
Llave no. 5075 (70,47) Inverso: 93 
Llave no. 5076 (70,48) Inverso: 2 
Llave no. 5077 (70,49) Inverso: 64 
Llave no. 5078 (70,51) Inverso: 41 
Llave no. 5079 (70,52) Inverso: 53 
Llave no. 5080 (70,53) Inverso: 52 
Llave no. 5081 (70,54) Inverso: 44 
Llave no. 5082 (70,56) Inverso: 56 
Llave no. 5083 (70,58) Inverso: 77 
Llave no. 5084 (70,59) Inverso: 29 
Llave no. 5085 (70,61) Inverso: 81 
Llave no. 5086 (70,62) Inverso: 23 
Llave no. 5087 (70,63) Inverso: 92 
Llave no. 5088 (70,64) Inverso: 49 
Llave no. 5089 (70,66) Inverso: 36 
Llave no. 5090 (70,67) Inverso: 78 
Llave no. 5091 (70,68) Inverso: 7 
Llave no. 5092 (70,69) Inverso: 84 
Llave no. 5093 (70,71) Inverso: 91 
Llave no. 5094 (70,72) Inverso: 33 
Llave no. 5095 (70,73) Inverso: 82 
Llave no. 5096 (70,74) Inverso: 9 
Llave no. 5097 (70,77) Inverso: 58 
Llave no. 5098 (70,78) Inverso: 67 
Llave no. 5099 (70,79) Inverso: 89 
Llave no. 5100 (70,81) Inverso: 61 
Llave no. 5101 (70,82) Inverso: 73 
Llave no. 5102 (70,83) Inverso: 87 
Llave no. 5103 (70,84) Inverso: 69 
Llave no. 5104 (70,86) Inverso: 21 
Llave no. 5105 (70,87) Inverso: 83 
Llave no. 5106 (70,88) Inverso: 27 
Llave no. 5107 (70,89) Inverso: 79 
Llave no. 5108 (70,91) Inverso: 71 
Llave no. 5109 (70,92) Inverso: 63 
Llave no. 5110 (70,93) Inverso: 47 
Llave no. 5111 (70,94) Inverso: 94 
Llave no. 5112 (71,1) Inverso: 1 
Llave no. 5113 (71,2) Inverso: 48 
Llave no. 5114 (71,3) Inverso: 32 
Llave no. 5115 (71,4) Inverso: 24 
Llave no. 5116 (71,6) Inverso: 16 
Llave no. 5117 (71,7) Inverso: 68 
Llave no. 5118 (71,8) Inverso: 12 
Llave no. 5119 (71,9) Inverso: 74 
Llave no. 5120 (71,11) Inverso: 26 
Llave no. 5121 (71,12) Inverso: 8 
Llave no. 5122 (71,13) Inverso: 22 
Llave no. 5123 (71,14) Inverso: 34 
Llave no. 5124 (71,16) Inverso: 6 
Llave no. 5125 (71,17) Inverso: 28 
Llave no. 5126 (71,18) Inverso: 37 
Llave no. 5127 (71,21) Inverso: 86 
Llave no. 5128 (71,22) Inverso: 13 
Llave no. 5129 (71,23) Inverso: 62 
Llave no. 5130 (71,24) Inverso: 4 
Llave no. 5131 (71,26) Inverso: 11 
Llave no. 5132 (71,27) Inverso: 88 
Llave no. 5133 (71,28) Inverso: 17 
Llave no. 5134 (71,29) Inverso: 59 
Llave no. 5135 (71,31) Inverso: 46 
Llave no. 5136 (71,32) Inverso: 3 
Llave no. 5137 (71,33) Inverso: 72 
Llave no. 5138 (71,34) Inverso: 14 
Llave no. 5139 (71,36) Inverso: 66 
Llave no. 5140 (71,37) Inverso: 18 
Llave no. 5141 (71,39) Inverso: 39 
Llave no. 5142 (71,41) Inverso: 51 
Llave no. 5143 (71,42) Inverso: 43 
Llave no. 5144 (71,43) Inverso: 42 
Llave no. 5145 (71,44) Inverso: 54 
Llave no. 5146 (71,46) Inverso: 31 
Llave no. 5147 (71,47) Inverso: 93 
Llave no. 5148 (71,48) Inverso: 2 
Llave no. 5149 (71,49) Inverso: 64 
Llave no. 5150 (71,51) Inverso: 41 
Llave no. 5151 (71,52) Inverso: 53 
Llave no. 5152 (71,53) Inverso: 52 
Llave no. 5153 (71,54) Inverso: 44 
Llave no. 5154 (71,56) Inverso: 56 
Llave no. 5155 (71,58) Inverso: 77 
Llave no. 5156 (71,59) Inverso: 29 
Llave no. 5157 (71,61) Inverso: 81 
Llave no. 5158 (71,62) Inverso: 23 
Llave no. 5159 (71,63) Inverso: 92 
Llave no. 5160 (71,64) Inverso: 49 
Llave no. 5161 (71,66) Inverso: 36 
Llave no. 5162 (71,67) Inverso: 78 
Llave no. 5163 (71,68) Inverso: 7 
Llave no. 5164 (71,69) Inverso: 84 
Llave no. 5165 (71,71) Inverso: 91 
Llave no. 5166 (71,72) Inverso: 33 
Llave no. 5167 (71,73) Inverso: 82 
Llave no. 5168 (71,74) Inverso: 9 
Llave no. 5169 (71,77) Inverso: 58 
Llave no. 5170 (71,78) Inverso: 67 
Llave no. 5171 (71,79) Inverso: 89 
Llave no. 5172 (71,81) Inverso: 61 
Llave no. 5173 (71,82) Inverso: 73 
Llave no. 5174 (71,83) Inverso: 87 
Llave no. 5175 (71,84) Inverso: 69 
Llave no. 5176 (71,86) Inverso: 21 
Llave no. 5177 (71,87) Inverso: 83 
Llave no. 5178 (71,88) Inverso: 27 
Llave no. 5179 (71,89) Inverso: 79 
Llave no. 5180 (71,91) Inverso: 71 
Llave no. 5181 (71,92) Inverso: 63 
Llave no. 5182 (71,93) Inverso: 47 
Llave no. 5183 (71,94) Inverso: 94 
Llave no. 5184 (72,1) Inverso: 1 
Llave no. 5185 (72,2) Inverso: 48 
Llave no. 5186 (72,3) Inverso: 32 
Llave no. 5187 (72,4) Inverso: 24 
Llave no. 5188 (72,6) Inverso: 16 
Llave no. 5189 (72,7) Inverso: 68 
Llave no. 5190 (72,8) Inverso: 12 
Llave no. 5191 (72,9) Inverso: 74 
Llave no. 5192 (72,11) Inverso: 26 
Llave no. 5193 (72,12) Inverso: 8 
Llave no. 5194 (72,13) Inverso: 22 
Llave no. 5195 (72,14) Inverso: 34 
Llave no. 5196 (72,16) Inverso: 6 
Llave no. 5197 (72,17) Inverso: 28 
Llave no. 5198 (72,18) Inverso: 37 
Llave no. 5199 (72,21) Inverso: 86 
Llave no. 5200 (72,22) Inverso: 13 
Llave no. 5201 (72,23) Inverso: 62 
Llave no. 5202 (72,24) Inverso: 4 
Llave no. 5203 (72,26) Inverso: 11 
Llave no. 5204 (72,27) Inverso: 88 
Llave no. 5205 (72,28) Inverso: 17 
Llave no. 5206 (72,29) Inverso: 59 
Llave no. 5207 (72,31) Inverso: 46 
Llave no. 5208 (72,32) Inverso: 3 
Llave no. 5209 (72,33) Inverso: 72 
Llave no. 5210 (72,34) Inverso: 14 
Llave no. 5211 (72,36) Inverso: 66 
Llave no. 5212 (72,37) Inverso: 18 
Llave no. 5213 (72,39) Inverso: 39 
Llave no. 5214 (72,41) Inverso: 51 
Llave no. 5215 (72,42) Inverso: 43 
Llave no. 5216 (72,43) Inverso: 42 
Llave no. 5217 (72,44) Inverso: 54 
Llave no. 5218 (72,46) Inverso: 31 
Llave no. 5219 (72,47) Inverso: 93 
Llave no. 5220 (72,48) Inverso: 2 
Llave no. 5221 (72,49) Inverso: 64 
Llave no. 5222 (72,51) Inverso: 41 
Llave no. 5223 (72,52) Inverso: 53 
Llave no. 5224 (72,53) Inverso: 52 
Llave no. 5225 (72,54) Inverso: 44 
Llave no. 5226 (72,56) Inverso: 56 
Llave no. 5227 (72,58) Inverso: 77 
Llave no. 5228 (72,59) Inverso: 29 
Llave no. 5229 (72,61) Inverso: 81 
Llave no. 5230 (72,62) Inverso: 23 
Llave no. 5231 (72,63) Inverso: 92 
Llave no. 5232 (72,64) Inverso: 49 
Llave no. 5233 (72,66) Inverso: 36 
Llave no. 5234 (72,67) Inverso: 78 
Llave no. 5235 (72,68) Inverso: 7 
Llave no. 5236 (72,69) Inverso: 84 
Llave no. 5237 (72,71) Inverso: 91 
Llave no. 5238 (72,72) Inverso: 33 
Llave no. 5239 (72,73) Inverso: 82 
Llave no. 5240 (72,74) Inverso: 9 
Llave no. 5241 (72,77) Inverso: 58 
Llave no. 5242 (72,78) Inverso: 67 
Llave no. 5243 (72,79) Inverso: 89 
Llave no. 5244 (72,81) Inverso: 61 
Llave no. 5245 (72,82) Inverso: 73 
Llave no. 5246 (72,83) Inverso: 87 
Llave no. 5247 (72,84) Inverso: 69 
Llave no. 5248 (72,86) Inverso: 21 
Llave no. 5249 (72,87) Inverso: 83 
Llave no. 5250 (72,88) Inverso: 27 
Llave no. 5251 (72,89) Inverso: 79 
Llave no. 5252 (72,91) Inverso: 71 
Llave no. 5253 (72,92) Inverso: 63 
Llave no. 5254 (72,93) Inverso: 47 
Llave no. 5255 (72,94) Inverso: 94 
Llave no. 5256 (73,1) Inverso: 1 
Llave no. 5257 (73,2) Inverso: 48 
Llave no. 5258 (73,3) Inverso: 32 
Llave no. 5259 (73,4) Inverso: 24 
Llave no. 5260 (73,6) Inverso: 16 
Llave no. 5261 (73,7) Inverso: 68 
Llave no. 5262 (73,8) Inverso: 12 
Llave no. 5263 (73,9) Inverso: 74 
Llave no. 5264 (73,11) Inverso: 26 
Llave no. 5265 (73,12) Inverso: 8 
Llave no. 5266 (73,13) Inverso: 22 
Llave no. 5267 (73,14) Inverso: 34 
Llave no. 5268 (73,16) Inverso: 6 
Llave no. 5269 (73,17) Inverso: 28 
Llave no. 5270 (73,18) Inverso: 37 
Llave no. 5271 (73,21) Inverso: 86 
Llave no. 5272 (73,22) Inverso: 13 
Llave no. 5273 (73,23) Inverso: 62 
Llave no. 5274 (73,24) Inverso: 4 
Llave no. 5275 (73,26) Inverso: 11 
Llave no. 5276 (73,27) Inverso: 88 
Llave no. 5277 (73,28) Inverso: 17 
Llave no. 5278 (73,29) Inverso: 59 
Llave no. 5279 (73,31) Inverso: 46 
Llave no. 5280 (73,32) Inverso: 3 
Llave no. 5281 (73,33) Inverso: 72 
Llave no. 5282 (73,34) Inverso: 14 
Llave no. 5283 (73,36) Inverso: 66 
Llave no. 5284 (73,37) Inverso: 18 
Llave no. 5285 (73,39) Inverso: 39 
Llave no. 5286 (73,41) Inverso: 51 
Llave no. 5287 (73,42) Inverso: 43 
Llave no. 5288 (73,43) Inverso: 42 
Llave no. 5289 (73,44) Inverso: 54 
Llave no. 5290 (73,46) Inverso: 31 
Llave no. 5291 (73,47) Inverso: 93 
Llave no. 5292 (73,48) Inverso: 2 
Llave no. 5293 (73,49) Inverso: 64 
Llave no. 5294 (73,51) Inverso: 41 
Llave no. 5295 (73,52) Inverso: 53 
Llave no. 5296 (73,53) Inverso: 52 
Llave no. 5297 (73,54) Inverso: 44 
Llave no. 5298 (73,56) Inverso: 56 
Llave no. 5299 (73,58) Inverso: 77 
Llave no. 5300 (73,59) Inverso: 29 
Llave no. 5301 (73,61) Inverso: 81 
Llave no. 5302 (73,62) Inverso: 23 
Llave no. 5303 (73,63) Inverso: 92 
Llave no. 5304 (73,64) Inverso: 49 
Llave no. 5305 (73,66) Inverso: 36 
Llave no. 5306 (73,67) Inverso: 78 
Llave no. 5307 (73,68) Inverso: 7 
Llave no. 5308 (73,69) Inverso: 84 
Llave no. 5309 (73,71) Inverso: 91 
Llave no. 5310 (73,72) Inverso: 33 
Llave no. 5311 (73,73) Inverso: 82 
Llave no. 5312 (73,74) Inverso: 9 
Llave no. 5313 (73,77) Inverso: 58 
Llave no. 5314 (73,78) Inverso: 67 
Llave no. 5315 (73,79) Inverso: 89 
Llave no. 5316 (73,81) Inverso: 61 
Llave no. 5317 (73,82) Inverso: 73 
Llave no. 5318 (73,83) Inverso: 87 
Llave no. 5319 (73,84) Inverso: 69 
Llave no. 5320 (73,86) Inverso: 21 
Llave no. 5321 (73,87) Inverso: 83 
Llave no. 5322 (73,88) Inverso: 27 
Llave no. 5323 (73,89) Inverso: 79 
Llave no. 5324 (73,91) Inverso: 71 
Llave no. 5325 (73,92) Inverso: 63 
Llave no. 5326 (73,93) Inverso: 47 
Llave no. 5327 (73,94) Inverso: 94 
Llave no. 5328 (74,1) Inverso: 1 
Llave no. 5329 (74,2) Inverso: 48 
Llave no. 5330 (74,3) Inverso: 32 
Llave no. 5331 (74,4) Inverso: 24 
Llave no. 5332 (74,6) Inverso: 16 
Llave no. 5333 (74,7) Inverso: 68 
Llave no. 5334 (74,8) Inverso: 12 
Llave no. 5335 (74,9) Inverso: 74 
Llave no. 5336 (74,11) Inverso: 26 
Llave no. 5337 (74,12) Inverso: 8 
Llave no. 5338 (74,13) Inverso: 22 
Llave no. 5339 (74,14) Inverso: 34 
Llave no. 5340 (74,16) Inverso: 6 
Llave no. 5341 (74,17) Inverso: 28 
Llave no. 5342 (74,18) Inverso: 37 
Llave no. 5343 (74,21) Inverso: 86 
Llave no. 5344 (74,22) Inverso: 13 
Llave no. 5345 (74,23) Inverso: 62 
Llave no. 5346 (74,24) Inverso: 4 
Llave no. 5347 (74,26) Inverso: 11 
Llave no. 5348 (74,27) Inverso: 88 
Llave no. 5349 (74,28) Inverso: 17 
Llave no. 5350 (74,29) Inverso: 59 
Llave no. 5351 (74,31) Inverso: 46 
Llave no. 5352 (74,32) Inverso: 3 
Llave no. 5353 (74,33) Inverso: 72 
Llave no. 5354 (74,34) Inverso: 14 
Llave no. 5355 (74,36) Inverso: 66 
Llave no. 5356 (74,37) Inverso: 18 
Llave no. 5357 (74,39) Inverso: 39 
Llave no. 5358 (74,41) Inverso: 51 
Llave no. 5359 (74,42) Inverso: 43 
Llave no. 5360 (74,43) Inverso: 42 
Llave no. 5361 (74,44) Inverso: 54 
Llave no. 5362 (74,46) Inverso: 31 
Llave no. 5363 (74,47) Inverso: 93 
Llave no. 5364 (74,48) Inverso: 2 
Llave no. 5365 (74,49) Inverso: 64 
Llave no. 5366 (74,51) Inverso: 41 
Llave no. 5367 (74,52) Inverso: 53 
Llave no. 5368 (74,53) Inverso: 52 
Llave no. 5369 (74,54) Inverso: 44 
Llave no. 5370 (74,56) Inverso: 56 
Llave no. 5371 (74,58) Inverso: 77 
Llave no. 5372 (74,59) Inverso: 29 
Llave no. 5373 (74,61) Inverso: 81 
Llave no. 5374 (74,62) Inverso: 23 
Llave no. 5375 (74,63) Inverso: 92 
Llave no. 5376 (74,64) Inverso: 49 
Llave no. 5377 (74,66) Inverso: 36 
Llave no. 5378 (74,67) Inverso: 78 
Llave no. 5379 (74,68) Inverso: 7 
Llave no. 5380 (74,69) Inverso: 84 
Llave no. 5381 (74,71) Inverso: 91 
Llave no. 5382 (74,72) Inverso: 33 
Llave no. 5383 (74,73) Inverso: 82 
Llave no. 5384 (74,74) Inverso: 9 
Llave no. 5385 (74,77) Inverso: 58 
Llave no. 5386 (74,78) Inverso: 67 
Llave no. 5387 (74,79) Inverso: 89 
Llave no. 5388 (74,81) Inverso: 61 
Llave no. 5389 (74,82) Inverso: 73 
Llave no. 5390 (74,83) Inverso: 87 
Llave no. 5391 (74,84) Inverso: 69 
Llave no. 5392 (74,86) Inverso: 21 
Llave no. 5393 (74,87) Inverso: 83 
Llave no. 5394 (74,88) Inverso: 27 
Llave no. 5395 (74,89) Inverso: 79 
Llave no. 5396 (74,91) Inverso: 71 
Llave no. 5397 (74,92) Inverso: 63 
Llave no. 5398 (74,93) Inverso: 47 
Llave no. 5399 (74,94) Inverso: 94 
Llave no. 5400 (75,1) Inverso: 1 
Llave no. 5401 (75,2) Inverso: 48 
Llave no. 5402 (75,3) Inverso: 32 
Llave no. 5403 (75,4) Inverso: 24 
Llave no. 5404 (75,6) Inverso: 16 
Llave no. 5405 (75,7) Inverso: 68 
Llave no. 5406 (75,8) Inverso: 12 
Llave no. 5407 (75,9) Inverso: 74 
Llave no. 5408 (75,11) Inverso: 26 
Llave no. 5409 (75,12) Inverso: 8 
Llave no. 5410 (75,13) Inverso: 22 
Llave no. 5411 (75,14) Inverso: 34 
Llave no. 5412 (75,16) Inverso: 6 
Llave no. 5413 (75,17) Inverso: 28 
Llave no. 5414 (75,18) Inverso: 37 
Llave no. 5415 (75,21) Inverso: 86 
Llave no. 5416 (75,22) Inverso: 13 
Llave no. 5417 (75,23) Inverso: 62 
Llave no. 5418 (75,24) Inverso: 4 
Llave no. 5419 (75,26) Inverso: 11 
Llave no. 5420 (75,27) Inverso: 88 
Llave no. 5421 (75,28) Inverso: 17 
Llave no. 5422 (75,29) Inverso: 59 
Llave no. 5423 (75,31) Inverso: 46 
Llave no. 5424 (75,32) Inverso: 3 
Llave no. 5425 (75,33) Inverso: 72 
Llave no. 5426 (75,34) Inverso: 14 
Llave no. 5427 (75,36) Inverso: 66 
Llave no. 5428 (75,37) Inverso: 18 
Llave no. 5429 (75,39) Inverso: 39 
Llave no. 5430 (75,41) Inverso: 51 
Llave no. 5431 (75,42) Inverso: 43 
Llave no. 5432 (75,43) Inverso: 42 
Llave no. 5433 (75,44) Inverso: 54 
Llave no. 5434 (75,46) Inverso: 31 
Llave no. 5435 (75,47) Inverso: 93 
Llave no. 5436 (75,48) Inverso: 2 
Llave no. 5437 (75,49) Inverso: 64 
Llave no. 5438 (75,51) Inverso: 41 
Llave no. 5439 (75,52) Inverso: 53 
Llave no. 5440 (75,53) Inverso: 52 
Llave no. 5441 (75,54) Inverso: 44 
Llave no. 5442 (75,56) Inverso: 56 
Llave no. 5443 (75,58) Inverso: 77 
Llave no. 5444 (75,59) Inverso: 29 
Llave no. 5445 (75,61) Inverso: 81 
Llave no. 5446 (75,62) Inverso: 23 
Llave no. 5447 (75,63) Inverso: 92 
Llave no. 5448 (75,64) Inverso: 49 
Llave no. 5449 (75,66) Inverso: 36 
Llave no. 5450 (75,67) Inverso: 78 
Llave no. 5451 (75,68) Inverso: 7 
Llave no. 5452 (75,69) Inverso: 84 
Llave no. 5453 (75,71) Inverso: 91 
Llave no. 5454 (75,72) Inverso: 33 
Llave no. 5455 (75,73) Inverso: 82 
Llave no. 5456 (75,74) Inverso: 9 
Llave no. 5457 (75,77) Inverso: 58 
Llave no. 5458 (75,78) Inverso: 67 
Llave no. 5459 (75,79) Inverso: 89 
Llave no. 5460 (75,81) Inverso: 61 
Llave no. 5461 (75,82) Inverso: 73 
Llave no. 5462 (75,83) Inverso: 87 
Llave no. 5463 (75,84) Inverso: 69 
Llave no. 5464 (75,86) Inverso: 21 
Llave no. 5465 (75,87) Inverso: 83 
Llave no. 5466 (75,88) Inverso: 27 
Llave no. 5467 (75,89) Inverso: 79 
Llave no. 5468 (75,91) Inverso: 71 
Llave no. 5469 (75,92) Inverso: 63 
Llave no. 5470 (75,93) Inverso: 47 
Llave no. 5471 (75,94) Inverso: 94 
Llave no. 5472 (76,1) Inverso: 1 
Llave no. 5473 (76,2) Inverso: 48 
Llave no. 5474 (76,3) Inverso: 32 
Llave no. 5475 (76,4) Inverso: 24 
Llave no. 5476 (76,6) Inverso: 16 
Llave no. 5477 (76,7) Inverso: 68 
Llave no. 5478 (76,8) Inverso: 12 
Llave no. 5479 (76,9) Inverso: 74 
Llave no. 5480 (76,11) Inverso: 26 
Llave no. 5481 (76,12) Inverso: 8 
Llave no. 5482 (76,13) Inverso: 22 
Llave no. 5483 (76,14) Inverso: 34 
Llave no. 5484 (76,16) Inverso: 6 
Llave no. 5485 (76,17) Inverso: 28 
Llave no. 5486 (76,18) Inverso: 37 
Llave no. 5487 (76,21) Inverso: 86 
Llave no. 5488 (76,22) Inverso: 13 
Llave no. 5489 (76,23) Inverso: 62 
Llave no. 5490 (76,24) Inverso: 4 
Llave no. 5491 (76,26) Inverso: 11 
Llave no. 5492 (76,27) Inverso: 88 
Llave no. 5493 (76,28) Inverso: 17 
Llave no. 5494 (76,29) Inverso: 59 
Llave no. 5495 (76,31) Inverso: 46 
Llave no. 5496 (76,32) Inverso: 3 
Llave no. 5497 (76,33) Inverso: 72 
Llave no. 5498 (76,34) Inverso: 14 
Llave no. 5499 (76,36) Inverso: 66 
Llave no. 5500 (76,37) Inverso: 18 
Llave no. 5501 (76,39) Inverso: 39 
Llave no. 5502 (76,41) Inverso: 51 
Llave no. 5503 (76,42) Inverso: 43 
Llave no. 5504 (76,43) Inverso: 42 
Llave no. 5505 (76,44) Inverso: 54 
Llave no. 5506 (76,46) Inverso: 31 
Llave no. 5507 (76,47) Inverso: 93 
Llave no. 5508 (76,48) Inverso: 2 
Llave no. 5509 (76,49) Inverso: 64 
Llave no. 5510 (76,51) Inverso: 41 
Llave no. 5511 (76,52) Inverso: 53 
Llave no. 5512 (76,53) Inverso: 52 
Llave no. 5513 (76,54) Inverso: 44 
Llave no. 5514 (76,56) Inverso: 56 
Llave no. 5515 (76,58) Inverso: 77 
Llave no. 5516 (76,59) Inverso: 29 
Llave no. 5517 (76,61) Inverso: 81 
Llave no. 5518 (76,62) Inverso: 23 
Llave no. 5519 (76,63) Inverso: 92 
Llave no. 5520 (76,64) Inverso: 49 
Llave no. 5521 (76,66) Inverso: 36 
Llave no. 5522 (76,67) Inverso: 78 
Llave no. 5523 (76,68) Inverso: 7 
Llave no. 5524 (76,69) Inverso: 84 
Llave no. 5525 (76,71) Inverso: 91 
Llave no. 5526 (76,72) Inverso: 33 
Llave no. 5527 (76,73) Inverso: 82 
Llave no. 5528 (76,74) Inverso: 9 
Llave no. 5529 (76,77) Inverso: 58 
Llave no. 5530 (76,78) Inverso: 67 
Llave no. 5531 (76,79) Inverso: 89 
Llave no. 5532 (76,81) Inverso: 61 
Llave no. 5533 (76,82) Inverso: 73 
Llave no. 5534 (76,83) Inverso: 87 
Llave no. 5535 (76,84) Inverso: 69 
Llave no. 5536 (76,86) Inverso: 21 
Llave no. 5537 (76,87) Inverso: 83 
Llave no. 5538 (76,88) Inverso: 27 
Llave no. 5539 (76,89) Inverso: 79 
Llave no. 5540 (76,91) Inverso: 71 
Llave no. 5541 (76,92) Inverso: 63 
Llave no. 5542 (76,93) Inverso: 47 
Llave no. 5543 (76,94) Inverso: 94 
Llave no. 5544 (77,1) Inverso: 1 
Llave no. 5545 (77,2) Inverso: 48 
Llave no. 5546 (77,3) Inverso: 32 
Llave no. 5547 (77,4) Inverso: 24 
Llave no. 5548 (77,6) Inverso: 16 
Llave no. 5549 (77,7) Inverso: 68 
Llave no. 5550 (77,8) Inverso: 12 
Llave no. 5551 (77,9) Inverso: 74 
Llave no. 5552 (77,11) Inverso: 26 
Llave no. 5553 (77,12) Inverso: 8 
Llave no. 5554 (77,13) Inverso: 22 
Llave no. 5555 (77,14) Inverso: 34 
Llave no. 5556 (77,16) Inverso: 6 
Llave no. 5557 (77,17) Inverso: 28 
Llave no. 5558 (77,18) Inverso: 37 
Llave no. 5559 (77,21) Inverso: 86 
Llave no. 5560 (77,22) Inverso: 13 
Llave no. 5561 (77,23) Inverso: 62 
Llave no. 5562 (77,24) Inverso: 4 
Llave no. 5563 (77,26) Inverso: 11 
Llave no. 5564 (77,27) Inverso: 88 
Llave no. 5565 (77,28) Inverso: 17 
Llave no. 5566 (77,29) Inverso: 59 
Llave no. 5567 (77,31) Inverso: 46 
Llave no. 5568 (77,32) Inverso: 3 
Llave no. 5569 (77,33) Inverso: 72 
Llave no. 5570 (77,34) Inverso: 14 
Llave no. 5571 (77,36) Inverso: 66 
Llave no. 5572 (77,37) Inverso: 18 
Llave no. 5573 (77,39) Inverso: 39 
Llave no. 5574 (77,41) Inverso: 51 
Llave no. 5575 (77,42) Inverso: 43 
Llave no. 5576 (77,43) Inverso: 42 
Llave no. 5577 (77,44) Inverso: 54 
Llave no. 5578 (77,46) Inverso: 31 
Llave no. 5579 (77,47) Inverso: 93 
Llave no. 5580 (77,48) Inverso: 2 
Llave no. 5581 (77,49) Inverso: 64 
Llave no. 5582 (77,51) Inverso: 41 
Llave no. 5583 (77,52) Inverso: 53 
Llave no. 5584 (77,53) Inverso: 52 
Llave no. 5585 (77,54) Inverso: 44 
Llave no. 5586 (77,56) Inverso: 56 
Llave no. 5587 (77,58) Inverso: 77 
Llave no. 5588 (77,59) Inverso: 29 
Llave no. 5589 (77,61) Inverso: 81 
Llave no. 5590 (77,62) Inverso: 23 
Llave no. 5591 (77,63) Inverso: 92 
Llave no. 5592 (77,64) Inverso: 49 
Llave no. 5593 (77,66) Inverso: 36 
Llave no. 5594 (77,67) Inverso: 78 
Llave no. 5595 (77,68) Inverso: 7 
Llave no. 5596 (77,69) Inverso: 84 
Llave no. 5597 (77,71) Inverso: 91 
Llave no. 5598 (77,72) Inverso: 33 
Llave no. 5599 (77,73) Inverso: 82 
Llave no. 5600 (77,74) Inverso: 9 
Llave no. 5601 (77,77) Inverso: 58 
Llave no. 5602 (77,78) Inverso: 67 
Llave no. 5603 (77,79) Inverso: 89 
Llave no. 5604 (77,81) Inverso: 61 
Llave no. 5605 (77,82) Inverso: 73 
Llave no. 5606 (77,83) Inverso: 87 
Llave no. 5607 (77,84) Inverso: 69 
Llave no. 5608 (77,86) Inverso: 21 
Llave no. 5609 (77,87) Inverso: 83 
Llave no. 5610 (77,88) Inverso: 27 
Llave no. 5611 (77,89) Inverso: 79 
Llave no. 5612 (77,91) Inverso: 71 
Llave no. 5613 (77,92) Inverso: 63 
Llave no. 5614 (77,93) Inverso: 47 
Llave no. 5615 (77,94) Inverso: 94 
Llave no. 5616 (78,1) Inverso: 1 
Llave no. 5617 (78,2) Inverso: 48 
Llave no. 5618 (78,3) Inverso: 32 
Llave no. 5619 (78,4) Inverso: 24 
Llave no. 5620 (78,6) Inverso: 16 
Llave no. 5621 (78,7) Inverso: 68 
Llave no. 5622 (78,8) Inverso: 12 
Llave no. 5623 (78,9) Inverso: 74 
Llave no. 5624 (78,11) Inverso: 26 
Llave no. 5625 (78,12) Inverso: 8 
Llave no. 5626 (78,13) Inverso: 22 
Llave no. 5627 (78,14) Inverso: 34 
Llave no. 5628 (78,16) Inverso: 6 
Llave no. 5629 (78,17) Inverso: 28 
Llave no. 5630 (78,18) Inverso: 37 
Llave no. 5631 (78,21) Inverso: 86 
Llave no. 5632 (78,22) Inverso: 13 
Llave no. 5633 (78,23) Inverso: 62 
Llave no. 5634 (78,24) Inverso: 4 
Llave no. 5635 (78,26) Inverso: 11 
Llave no. 5636 (78,27) Inverso: 88 
Llave no. 5637 (78,28) Inverso: 17 
Llave no. 5638 (78,29) Inverso: 59 
Llave no. 5639 (78,31) Inverso: 46 
Llave no. 5640 (78,32) Inverso: 3 
Llave no. 5641 (78,33) Inverso: 72 
Llave no. 5642 (78,34) Inverso: 14 
Llave no. 5643 (78,36) Inverso: 66 
Llave no. 5644 (78,37) Inverso: 18 
